WindSpeed [m],STD WindSpeed [m],WaveHeight [m],STD WaveHeight [m],Fetch [m],Depth [m],Location,Buoy ID,Year,SourceCode,SourceData,,,,,,,,,,
16.55,0.33,4.28,0.28,,237.5,LakeSuperior,45004,2022,analyze_LS.m,https://www.ndbc.noaa.gov/download_data.php?filename=45004h2022.txt.gz&dir=data/historical/stdmet/,,,,,,,,,,
7.36,0.47,0.8,0.07,,237.5,LakeSuperior,45004,2021,analyze_LS.m,https://www.ndbc.noaa.gov/download_data.php?filename=45004h2021.txt.gz&dir=data/historical/stdmet/ ,,,,,,,,,,
6.4,0.33,0.6,0.044,,237.5,LakeSuperior,45004,2020,analyze_LS.m,https://www.ndbc.noaa.gov/download_data.php?filename=45004h2020.txt.gz&dir=data/historical/stdmet/ ,,,,,,,,,,
7.57,0.36,0.88,0.077,,237.5,LakeSuperior,45004,2019,analyze_LS.m,https://www.ndbc.noaa.gov/download_data.php?filename=45004h2019.txt.gz&dir=data/historical/stdmet/ ,,,,,,,,,,
NaN,NaN,NaN,NaN,,237.5,LakeSuperior,45004,2018,analyze_LS.m,https://www.ndbc.noaa.gov/download_data.php?filename=45004h2018.txt.gz&dir=data/historical/stdmet/,,,,,,,,,,note: too variable to use this year to keep 1.5x gust threshold and 15 deg direction  variability threshold
NaN,Nan,NaN,NaN,,237.5,LakeSuperior,45004,2017,analyze_LS.m,https://www.ndbc.noaa.gov/download_data.php?filename=45004h2017.txt.gz&dir=data/historical/stdmet/ ,,,,,,,,,,note: too variable to use this year to keep 1.5x gust threshold and 15 deg direction  variability threshold
NaN,NaN,NaN,NaN,,237.5,LakeSuperior,45004,2016,analyze_LS.m,https://www.ndbc.noaa.gov/download_data.php?filename=45004h2016.txt.gz&dir=data/historical/stdmet/ ,,,,,,,,,,note: too variable to use this year to keep 1.5x gust threshold and 15 deg direction  variability threshold
NaN,NaN,NaN,NaN,,237.5,LakeSuperior,45004,2015,analyze_LS.m,https://www.ndbc.noaa.gov/download_data.php?filename=45004h2015.txt.gz&dir=data/historical/stdmet/ ,,,,,,,,,,note: too variable to use this year to keep 1.5x gust threshold and 15 deg direction  variability threshold
NaN,NaN,NaN,NaN,,237.5,LakeSuperior,45004,2014,analyze_LS.m,https://www.ndbc.noaa.gov/download_data.php?filename=45004h2014.txt.gz&dir=data/historical/stdmet/ ,,,,,,,,,,note: too variable to use this year to keep 1.5x gust threshold and 15 deg direction  variability threshold
NaN,NaN,NaN,NaN,,237.5,LakeSuperior,45004,2013,analyze_LS.m,https://www.ndbc.noaa.gov/download_data.php?filename=45004h2013.txt.gz&dir=data/historical/stdmet/ ,,,,,,,,,,note: too variable to use this year to keep 1.5x gust threshold and 15 deg direction  variability threshold
NaN,NaN,NaN,NaN,,237.5,LakeSuperior,45004,2012,analyze_LS.m,https://www.ndbc.noaa.gov/download_data.php?filename=45004h2012.txt.gz&dir=data/historical/stdmet/ ,,,,,,,,,,note: too variable to use this year to keep 1.5x gust threshold and 15 deg direction  variability threshold
