#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 03 07 08 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   0.5 999.0 99.0 99.00
2016 03 08 05 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   1.5 999.0 99.0 99.00
2016 03 09 02 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   2.3 999.0 99.0 99.00
2016 03 09 23 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   2.0 999.0 99.0 99.00
2016 03 10 20 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   2.5 999.0 99.0 99.00
2016 03 11 17 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   1.1 999.0 99.0 99.00
2016 03 12 14 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   1.7 999.0 99.0 99.00
2016 03 13 11 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   3.0 999.0 99.0 99.00
2016 03 14 08 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0   2.6 999.0 99.0 99.00
2016 03 14 17 50 174  0.0  0.1  0.01 99.00  8.18 999 1005.5   3.6   3.1 999.0 99.0 99.00
2016 03 14 18 50  62  0.4  1.0  0.01 99.00  7.34 999 1005.1   5.7   3.7 999.0 99.0 99.00
2016 03 14 19 50 174  0.0  0.2  0.01 99.00  8.56 999 1004.8   7.0   4.2 999.0 99.0 99.00
2016 03 14 20 50  71  0.8  1.3 99.00 99.00 99.00 999 1004.6   7.1   4.7 999.0 99.0 99.00
2016 03 14 21 50  49  0.5  1.0 99.00 99.00 99.00 999 1004.9   5.6   4.8 999.0 99.0 99.00
2016 03 14 22 50 134  0.4  1.7  0.01 99.00  9.16 999 1004.9   4.7   4.8 999.0 99.0 99.00
2016 03 14 23 50  14  0.7  1.4 99.00 99.00 99.00 999 1005.4   3.1   4.5 999.0 99.0 99.00
2016 03 15 00 50  14  1.1  2.4 99.00 99.00 99.00 999 1005.9   3.0   4.1 999.0 99.0 99.00
2016 03 15 01 50  43  1.5  2.9  0.01 99.00  8.06 999 1006.2   2.2   3.6 999.0 99.0 99.00
2016 03 15 02 50 174  0.0  0.0  0.01 99.00  8.06 999 1006.5   2.0   3.2 999.0 99.0 99.00
2016 03 15 03 50  57  0.3  0.8  0.01 99.00  9.04 999 1006.9   2.9   3.1 999.0 99.0 99.00
2016 03 15 04 50  96  0.9  1.5  0.02 99.00  9.43 999 1006.9   2.9   3.1 999.0 99.0 99.00
2016 03 15 05 50  59  0.3  0.9  0.01 99.00  6.69 999 1006.7   2.9   3.1 999.0 99.0 99.00
2016 03 15 06 50  39  0.7  1.7 99.00 99.00 99.00 999 1006.4   2.9   3.1 999.0 99.0 99.00
2016 03 15 07 50  35  1.7  3.5  0.01 99.00  8.53 999 1006.3   3.2   3.0 999.0 99.0 99.00
2016 03 15 08 50  37  2.8  4.4 99.00 99.00 99.00 999 1006.1   2.9   2.9 999.0 99.0 99.00
2016 03 15 09 50  35  2.5  4.7  0.02 99.00  9.72 999 1006.1   3.3   3.0 999.0 99.0 99.00
2016 03 15 10 50  49  1.6  4.0  0.01 99.00  7.75 999 1005.8   3.3   3.0 999.0 99.0 99.00
2016 03 15 11 50  36  3.8  6.0  0.01 99.00  8.77 999 1005.5   3.3   3.0 999.0 99.0 99.00
2016 03 15 12 50  34  4.8  6.9  0.01 99.00  8.82 999 1005.6   2.9   2.9 999.0 99.0 99.00
2016 03 15 13 50  36  4.1  6.3 99.00 99.00 99.00 999 1005.4   3.1   2.9 999.0 99.0 99.00
2016 03 15 14 50  35  4.5  6.6  0.01 99.00  8.64 999 1005.4   3.0   2.9 999.0 99.0 99.00
2016 03 15 15 50  36  3.1  5.3 99.00 99.00 99.00 999 1005.6   3.0   2.9 999.0 99.0 99.00
2016 03 15 16 50  55  2.4  6.2 99.00 99.00 99.00 999 1005.9   3.0   2.9 999.0 99.0 99.00
2016 03 15 17 50  39  3.3  6.8  0.01 99.00  6.76 999 1005.2   3.0   2.8 999.0 99.0 99.00
2016 03 15 18 50  38  4.8  9.1 99.00 99.00 99.00 999 1004.7   3.0   2.9 999.0 99.0 99.00
2016 03 15 19 50  56  3.4  7.6  0.01 99.00  7.99 999 1004.9   3.2   2.9 999.0 99.0 99.00
2016 03 15 20 50  43  2.8  6.5  0.01 99.00  6.65 999 1004.7   3.0   2.9 999.0 99.0 99.00
2016 03 15 21 50  45  2.1  4.5  0.01 99.00  6.07 999 1004.5   3.1   2.9 999.0 99.0 99.00
2016 03 15 22 50  48  3.5  7.0 99.00 99.00 99.00 999 1004.6   3.0   2.9 999.0 99.0 99.00
2016 03 15 23 50  37  3.7  6.7  0.01 99.00  6.83 999 1004.6   3.0   2.8 999.0 99.0 99.00
2016 03 16 00 50  41  1.8  4.5 99.00 99.00 99.00 999 1004.7   2.9   2.8 999.0 99.0 99.00
2016 03 16 01 50  38  0.4  2.0  0.02 99.00  9.66 999 1004.8   3.1   2.8 999.0 99.0 99.00
2016 03 16 02 50  35  2.5  4.4  0.01 99.00  7.20 999 1004.0   2.9   2.7 999.0 99.0 99.00
2016 03 16 03 50  41  0.8  2.2  0.01 99.00  7.80 999 1003.7   3.1   2.7 999.0 99.0 99.00
2016 03 16 04 50  25  1.8  3.7  0.01 99.00  8.57 999 1002.6   3.2   2.7 999.0 99.0 99.00
2016 03 16 05 50  22  2.3  5.1 99.00 99.00 99.00 999 1001.2   3.3   2.8 999.0 99.0 99.00
2016 03 16 06 50  16  2.2  5.5  0.02 99.00  9.75 999 1000.1   3.6   2.8 999.0 99.0 99.00
2016 03 16 07 50  35  4.0  6.9  0.01 99.00  8.18 999  999.1   2.6   2.8 999.0 99.0 99.00
2016 03 16 08 50  32  3.5  6.6  0.01 99.00  7.10 999  998.5   2.5   2.6 999.0 99.0 99.00
2016 03 16 09 50 333  2.1  3.8  0.02 99.00  9.51 999  997.8   2.1   2.4 999.0 99.0 99.00
2016 03 16 10 50 153  0.1  0.5  0.01 99.00  8.36 999  997.8   1.8   2.0 999.0 99.0 99.00
2016 03 16 11 50 325  3.5  6.7  0.01 99.00  9.27 999  997.6   2.6   2.0 999.0 99.0 99.00
2016 03 16 12 50 330  3.4  5.5 99.00 99.00 99.00 999  997.1   2.8   2.1 999.0 99.0 99.00
2016 03 16 13 50 326  4.7  7.9  0.01 99.00  8.18 999  996.5   2.9   2.2 999.0 99.0 99.00
2016 03 16 14 50 339  3.5  5.7  0.01 99.00  8.37 999  996.9   2.8   2.3 999.0 99.0 99.00
2016 03 16 15 50 332  3.1  5.4  0.01 99.00  8.55 999  997.4   2.5   2.2 999.0 99.0 99.00
2016 03 16 16 50 331  4.0  7.2  0.01 99.00  7.42 999  997.7   2.7   2.2 999.0 99.0 99.00
2016 03 16 17 50 348  2.2  3.8  0.01 99.00  7.00 999  998.1   3.1   2.3 999.0 99.0 99.00
2016 03 16 18 50 333  2.1  4.0 99.00 99.00 99.00 999  998.6   3.5   2.5 999.0 99.0 99.00
2016 03 16 19 50 316  0.5  1.5  0.01 99.00  8.01 999  999.1   3.3   2.6 999.0 99.0 99.00
2016 03 16 20 50 201  3.6  4.5  0.01 99.00  8.76 999  999.9   1.5   2.5 999.0 99.0 99.00
2016 03 16 21 50 174  0.1  0.3  0.02 99.00  9.61 999 1000.5   0.5   2.2 999.0 99.0 99.00
2016 03 16 22 50 174  0.0  0.0  0.01 99.00  7.76 999 1001.1   0.3   2.0 999.0 99.0 99.00
2016 03 16 23 50 174  0.0  0.0  0.01 99.00  7.70 999 1001.8   0.4   1.9 999.0 99.0 99.00
2016 03 17 00 50 174  0.0  0.8 99.00 99.00 99.00 999 1002.0   0.7   1.7 999.0 99.0 99.00
2016 03 17 01 50 358  0.5  1.3  0.01 99.00  8.51 999 1002.6   0.7   1.6 999.0 99.0 99.00
2016 03 17 02 50  24  0.1  0.4  0.01 99.00  7.86 999 1002.7   0.6   1.4 999.0 99.0 99.00
2016 03 17 03 50  75  0.4  1.0  0.01 99.00  8.39 999 1002.7   0.5   1.3 999.0 99.0 99.00
2016 03 17 04 50  53  0.7  1.5  0.01 99.00  8.48 999 1003.0   0.1   1.1 999.0 99.0 99.00
2016 03 17 05 50  66  0.6  1.9  0.02 99.00 10.64 999 1003.1  -0.1   0.9 999.0 99.0 99.00
2016 03 17 06 50 174  0.0  0.0  0.01 99.00  8.44 999 1003.3  -0.4   0.7 999.0 99.0 99.00
2016 03 17 07 50 174  0.0  0.0  0.01 99.00  7.67 999 1003.7  -0.5   0.5 999.0 99.0 99.00
2016 03 17 08 50 174  0.0  0.0  0.01 99.00  6.44 999 1004.1  -0.8   0.4 999.0 99.0 99.00
2016 03 17 09 50 174  0.0  0.0  0.01 99.00  6.99 999 1004.5  -0.8   0.4 999.0 99.0 99.00
2016 03 17 10 50 174  0.0  0.0  0.01 99.00  7.79 999 1005.0  -0.7   0.3 999.0 99.0 99.00
