Wind [deg],Fetch [m]
0,117187.17671662233
1,122385.61241024412
2,123420.26657197242
3,129434.8528634162
4,124232.22237709939
5,123760.06542419692
6,142574.24238110965
7,148402.02684353726
8,140471.873890791
9,152656.735773804
10,150385.23503930247
11,150026.26309097174
12,148359.27495838935
13,149257.4514129113
14,61213.20937019268
15,61040.07565817377
16,61168.80806526949
17,61751.3287165423
18,149839.8235996309
19,163045.67213401166
20,175535.63648830404
21,152261.35447243092
22,167616.1166094218
23,167048.9858774971
24,167920.6361032824
25,169235.77193875163
26,171569.4427904138
27,145617.29705437616
28,141454.9693868504
29,137648.88841122523
30,135671.81811009895
31,134688.0288742398
32,133897.0334430861
33,133577.20536909925
34,132223.13596218926
35,131336.22911416827
36,131069.92365974523
37,130402.4858422541
38,129596.01860874741
39,128271.14136131923
40,127138.1867027956
41,124923.2522776089
42,122973.53590125455
43,120984.44501965097
44,119777.68258136151
45,117776.71592760223
46,117751.56211393353
47,117419.20110558956
48,115275.65610690555
49,113563.21306005234
50,112998.09156166836
51,111290.24897533466
52,109222.26039702319
53,108183.11949983113
54,108112.16837277294
55,108286.1881504989
56,108566.69729024505
57,108785.37771373986
58,108439.49549344744
59,108114.33458072416
60,107810.08546758525
61,107440.1092469855
62,107111.94191628948
63,106606.81293134236
64,106228.73126141708
65,106065.08513038627
66,106115.81694295851
67,106380.65971906003
68,107160.79001965592
69,107656.24900064038
70,107868.74815306737
71,108504.04602653456
72,109141.59078181117
73,109601.89179818155
74,110364.66860595235
75,111235.59380415203
76,111747.43756889994
77,112377.32826553163
78,113013.45472952012
79,113290.30967935159
80,113951.86798663232
81,114545.5720152579
82,114404.74572628966
83,114372.95955543203
84,115009.61140647157
85,116776.45117265574
86,118000.95654958377
87,119982.54721610634
88,120867.2354331206
89,122601.52325905483
90,123241.55358503044
91,121211.66782342663
92,120495.16389398435
93,114604.67294860064
94,113175.79318908624
95,112968.81334423306
96,113521.6502381454
97,122274.97727219194
98,119895.49400519258
99,121997.82865523879
100,122637.09139153549
101,125157.43698871949
102,127712.79323511844
103,128040.43496915225
104,127451.76584492707
105,125845.32275965136
106,123779.33519302488
107,126074.94718896561
108,124903.4180987314
109,123167.76037798265
110,121917.11895506605
111,121166.32820862088
112,121005.52097581733
113,121932.06732986425
114,123270.53324990494
115,124256.40622054956
116,126350.86740271088
117,127027.71592692578
118,127139.38180689531
119,128776.63327335242
120,130241.74992844892
121,131276.47010471602
122,131945.44722972528
123,132444.62205551864
124,132579.18464258872
125,132350.5106912862
126,132149.4546930525
127,129779.35903375481
128,127102.03695783841
129,125479.89154063526
130,125695.66451116076
131,125107.25993560468
132,124885.50564292999
133,123796.18027073238
134,124422.3159191751
135,123394.41581551467
136,121723.60946117943
137,120759.29375164697
138,120539.50041956533
139,120090.80845859504
140,119003.22507053158
141,117687.09345769037
142,116671.29416008916
143,116250.02039877026
144,116215.5874168906
145,117083.93776540764
146,116376.15720066692
147,119581.6974118935
148,118205.45698376802
149,119135.91699429757
150,119425.28663893101
151,121120.72766859275
152,123059.90550423722
153,123367.74694401394
154,127336.36979632506
155,130725.13693691323
156,133438.75901093517
157,141707.00644054994
158,135136.12667414406
159,163127.75205308915
160,160384.87810151317
161,156090.2494463017
162,150106.74734500042
163,139996.00332760462
164,141692.31679428808
165,133562.5046389968
166,132306.34221718818
167,125109.63686552702
168,118201.88945393612
169,109726.50979110492
170,79771.07860967136
171,78493.86578436842
172,86439.30868429702
173,86956.13725187951
174,89349.6829309339
175,94132.66216671032
176,355880.09938631125
177,346592.77649737237
178,337096.6751231025
179,327242.8640406506
180,316651.3546518135
181,304114.14280891867
182,289550.725076307
183,270682.1342406834
184,257086.29015879915
185,246752.68475572116
186,188916.5823755121
187,181002.75117198643
188,172750.29081842417
189,169651.62801032056
190,171289.61028230106
191,165259.14564657782
192,161706.5700825249
193,158908.20319883697
194,158645.07659304916
195,157096.56106682972
196,155104.15606812807
197,153637.252161214
198,152540.3648393291
199,182996.38657253733
200,149909.82198794826
201,174127.3400202776
202,146092.09255782998
203,171747.67971814628
204,167874.05433106486
205,171255.36477080832
206,164929.1719707771
207,164464.3497309955
208,166688.2714849444
209,164716.55353303603
210,168167.6345466703
211,164606.83887438444
212,163685.22810535433
213,162700.6497669279
214,165016.80915031917
215,162607.82124376303
216,160928.55991197654
217,162982.51745232544
218,160947.4611696941
219,160044.59918840873
220,165249.16144917248
221,163965.67377045448
222,161772.11231937204
223,158109.73818746343
224,157331.25785866697
225,157926.4705937571
226,152449.50780316704
227,150706.678686203
228,150365.61089222657
229,149648.64277627505
230,151313.32389181666
231,148905.2266040129
232,145541.2822475909
233,145491.19763980756
234,145692.71065838126
235,144490.87879672454
236,142957.04101878506
237,147827.99315736268
238,145962.62549307803
239,141937.97966820345
240,140196.2930991986
241,139108.32294443995
242,138131.8569340105
243,138284.05481543377
244,140304.4510535038
245,137508.16019442302
246,121715.7270352098
247,120096.69043073473
248,119578.86316491204
249,119185.62949483578
250,119679.56219222216
251,137101.46493789207
252,138807.3138044157
253,135139.3677359131
254,134440.52787794353
255,134228.18185292507
256,131325.54400163254
257,130878.74592837392
258,131028.35146054131
259,131563.11639976164
260,132951.91456619895
261,133149.17475124763
262,133272.83289377106
263,134251.01086948157
264,134503.79372906286
265,134497.32721135108
266,133857.85742428116
267,122574.4600721223
268,123461.01787632567
269,122879.0703058859
270,127040.67092608435
271,126308.08622976141
272,126334.22602068646
273,127026.00731271056
274,130890.22685834425
275,130875.41383915661
276,131159.07015365412
277,128397.95211350554
278,126855.82273135346
279,129148.37459810793
280,125681.07906784418
281,122967.53917407554
282,120822.17351126827
283,119262.01822421583
284,115070.53779258484
285,115130.19348994797
286,113409.32408367506
287,112922.81220458697
288,110188.54013332447
289,107354.62936425155
290,104433.29952859334
291,102083.19018573871
292,98775.15451855602
293,95165.84677008842
294,94376.11085001027
295,93761.81264860058
296,91814.32919172817
297,89492.72343870175
298,88426.58171402685
299,87180.84629875595
300,84758.74760938581
301,84108.07894646784
302,83277.97345295583
303,80748.77656751995
304,79427.65380151966
305,78621.08935654006
306,78024.50281747316
307,77029.66547360414
308,75829.88998474984
309,74979.57139639591
310,73894.85345261263
311,73382.92299939161
312,72745.95955224292
313,72125.99920434644
314,71557.28827101162
315,69747.90450686678
316,69516.87700609195
317,69527.38288510367
318,68666.42711209135
319,68715.18507639573
320,69043.66512293354
321,69320.72450247184
322,69398.09122632282
323,69125.32890105002
324,68874.84569573932
325,68427.49809953533
326,68529.47426209714
327,68918.56720651485
328,68807.18664732134
329,68504.71251370727
330,68229.25790417593
331,68551.93724729281
332,69105.30332177095
333,69736.55787402502
334,70393.1979351645
335,71031.58056109442
336,72268.18012488756
337,73746.49836255232
338,75419.96988918971
339,77130.38848291781
340,79718.20890790492
341,82260.0515255401
342,85747.49633330155
343,90146.57506153692
344,55180.44018846277
345,51226.07529724015
346,49320.04087042571
347,48830.126124607115
348,49167.03883139364
349,51663.500101260695
350,55298.30638440963
351,58113.43844190626
352,60720.370103109875
353,128078.0091342478
354,125483.37655714087
355,120339.60492812771
356,119891.8267201887
357,120392.21345287014
358,117347.51318827408
