wind_threshold_factor,pressure_mbar,wind_speed_ms,distance_km,depth_m,hsig_m,tp_s,ub_ms
0.25,6,7.5,0,10,0,1.04,0
0.25,6,7.5,1.2,10,0.02,1.15,0
0.25,6,7.5,2.4,10,0.03,1.23,0
0.25,6,7.5,3.6,10,0.03,1.29,0
0.25,6,7.5,4.8,10,0.03,1.37,0
0.25,6,7.5,6,10,0.04,1.42,0
0.25,6,7.5,7.2,10,0.04,1.45,0
0.25,6,7.5,8.4,10,0.04,1.48,0
0.25,6,7.5,9.6,10,0.04,1.51,0
0.25,6,7.5,10.8,10,0.05,1.52,0
0.25,6,7.5,12,10,0.05,1.54,0
0.25,6,7.5,13.2,10,0.05,1.57,0
0.25,6,7.5,14.4,10,0.05,1.57,0
0.25,6,7.5,15.6,10,0.05,1.59,0
0.25,6,7.5,16.8,10,0.05,1.61,0
0.25,6,7.5,18,10,0.06,1.64,0
0.25,6,7.5,18.46,10,0.06,1.65,0
0.25,6,7.5,18.87,10,0.06,1.66,0
0.25,6,7.5,19.2,10,0.06,1.66,0
0.25,6,7.5,19.33,10,0.06,1.67,0
0.25,6,7.5,19.45,10,0.06,1.67,0
0.25,6,7.5,19.55,10,0.06,1.67,0
0.25,6,7.5,19.62,10,0.06,1.67,0
0.25,6,7.5,19.68,10,0.06,1.68,0
0.25,6,7.5,19.73,10,0.06,1.68,0
0.25,6,7.5,19.76,10,0.06,1.68,0
0.25,6,7.5,19.8,10,0.06,1.68,0
0.25,6,7.5,19.82,10,0.06,1.68,0
0.25,6,7.5,19.84,10,0.06,1.68,0
0.25,6,7.5,19.85,10,0.06,1.68,0
0.25,6,7.5,19.87,10,0.06,1.68,0
0.25,6,7.5,19.88,10,0.06,1.68,0
0.25,6,7.5,19.88,10,0.06,1.68,0
0.25,6,7.5,19.89,9.5,0.06,1.68,0
0.25,6,7.5,19.9,8.59,0.06,1.68,0
0.25,6,7.5,19.91,8.14,0.06,1.68,0
0.25,6,7.5,19.91,7.69,0.06,1.68,0
0.25,6,7.5,19.92,6.78,0.06,1.69,0
0.25,6,7.5,19.93,6.33,0.06,1.69,0
0.25,6,7.5,19.93,5.88,0.06,1.69,0
0.25,6,7.5,19.94,4.97,0.06,1.69,0
0.25,6,7.5,19.95,4.52,0.06,1.69,0
0.25,6,7.5,19.95,4.07,0.06,1.69,0
0.25,6,7.5,19.96,3.62,0.06,1.69,0
0.25,6,7.5,19.97,2.71,0.06,1.69,0
0.25,6,7.5,19.97,2.26,0.06,1.69,0
0.25,6,7.5,19.98,1.81,0.06,1.69,0
0.25,6,7.5,19.99,0.9,0.06,1.66,0.01
0.25,6,7.5,19.99,0.45,0.05,1.63,0.03
0.25,6,7.5,20,0,0,0,0
0.25,60,3.67,0,10,0,1.22,0
0.25,60,3.67,1.2,10,0.05,1.41,0
0.25,60,3.67,2.4,10,0.06,1.53,0
0.25,60,3.67,3.6,10,0.07,1.62,0
0.25,60,3.67,4.8,10,0.08,1.71,0
0.25,60,3.67,6,10,0.09,1.79,0
0.25,60,3.67,7.2,10,0.09,1.87,0
0.25,60,3.67,8.4,10,0.1,1.93,0
0.25,60,3.67,9.6,10,0.1,1.98,0
0.25,60,3.67,10.8,10,0.11,2.04,0
0.25,60,3.67,12,10,0.11,2.1,0
0.25,60,3.67,13.2,10,0.12,2.14,0
0.25,60,3.67,14.4,10,0.12,2.19,0
0.25,60,3.67,15.6,10,0.12,2.22,0
0.25,60,3.67,16.8,10,0.13,2.26,0
0.25,60,3.67,18,10,0.13,2.3,0
0.25,60,3.67,18.46,10,0.13,2.32,0
0.25,60,3.67,18.87,10,0.14,2.33,0
0.25,60,3.67,19.2,10,0.14,2.34,0
0.25,60,3.67,19.33,10,0.14,2.35,0
0.25,60,3.67,19.45,10,0.14,2.35,0
0.25,60,3.67,19.55,10,0.14,2.36,0
0.25,60,3.67,19.62,10,0.14,2.36,0
0.25,60,3.67,19.68,10,0.14,2.37,0
0.25,60,3.67,19.73,10,0.14,2.37,0
0.25,60,3.67,19.76,10,0.14,2.37,0
0.25,60,3.67,19.8,10,0.14,2.37,0
0.25,60,3.67,19.82,10,0.14,2.38,0
0.25,60,3.67,19.84,10,0.14,2.38,0
0.25,60,3.67,19.85,10,0.14,2.38,0
0.25,60,3.67,19.87,10,0.14,2.38,0
0.25,60,3.67,19.88,10,0.14,2.38,0
0.25,60,3.67,19.88,10,0.14,2.38,0
0.25,60,3.67,19.89,9.5,0.14,2.38,0
0.25,60,3.67,19.9,8.59,0.14,2.38,0
0.25,60,3.67,19.91,8.14,0.14,2.38,0
0.25,60,3.67,19.91,7.69,0.14,2.38,0
0.25,60,3.67,19.92,6.78,0.14,2.38,0
0.25,60,3.67,19.93,6.33,0.14,2.38,0
0.25,60,3.67,19.93,5.88,0.14,2.38,0
0.25,60,3.67,19.94,4.97,0.14,2.39,0
0.25,60,3.67,19.95,4.52,0.14,2.39,0
0.25,60,3.67,19.95,4.07,0.14,2.39,0
0.25,60,3.67,19.96,3.62,0.14,2.39,0
0.25,60,3.67,19.97,2.71,0.14,2.38,0.01
0.25,60,3.67,19.97,2.26,0.14,2.38,0.01
0.25,60,3.67,19.98,1.81,0.13,2.36,0.02
0.25,60,3.67,19.99,0.9,0.13,2.33,0.06
0.25,60,3.67,19.99,0.45,0.12,2.34,0.11
0.25,60,3.67,20,0,0,0,0
0.25,600,1.08,0,10,0,1.48,0
0.25,600,1.08,1.2,10,0.04,1.29,0
0.25,600,1.08,2.4,10,0.05,1.39,0
0.25,600,1.08,3.6,10,0.05,1.45,0
0.25,600,1.08,4.8,10,0.06,1.49,0
0.25,600,1.08,6,10,0.06,1.5,0
0.25,600,1.08,7.2,10,0.06,1.52,0
0.25,600,1.08,8.4,10,0.06,1.53,0
0.25,600,1.08,9.6,10,0.06,1.54,0
0.25,600,1.08,10.8,10,0.06,1.55,0
0.25,600,1.08,12,10,0.06,1.56,0
0.25,600,1.08,13.2,10,0.06,1.56,0
0.25,600,1.08,14.4,10,0.06,1.57,0
0.25,600,1.08,15.6,10,0.06,1.58,0
0.25,600,1.08,16.8,10,0.06,1.58,0
0.25,600,1.08,18,10,0.07,1.58,0
0.25,600,1.08,18.46,10,0.07,1.58,0
0.25,600,1.08,18.87,10,0.07,1.58,0
0.25,600,1.08,19.2,10,0.07,1.58,0
0.25,600,1.08,19.33,10,0.07,1.58,0
0.25,600,1.08,19.45,10,0.07,1.59,0
0.25,600,1.08,19.55,10,0.07,1.59,0
0.25,600,1.08,19.62,10,0.07,1.59,0
0.25,600,1.08,19.68,10,0.07,1.59,0
0.25,600,1.08,19.73,10,0.07,1.59,0
0.25,600,1.08,19.76,10,0.07,1.58,0
0.25,600,1.08,19.8,10,0.07,1.59,0
0.25,600,1.08,19.82,10,0.07,1.59,0
0.25,600,1.08,19.84,10,0.07,1.59,0
0.25,600,1.08,19.85,10,0.07,1.59,0
0.25,600,1.08,19.87,10,0.07,1.59,0
0.25,600,1.08,19.88,10,0.07,1.59,0
0.25,600,1.08,19.88,10,0.07,1.59,0
0.25,600,1.08,19.89,9.5,0.07,1.59,0
0.25,600,1.08,19.9,8.59,0.07,1.59,0
0.25,600,1.08,19.91,8.14,0.07,1.59,0
0.25,600,1.08,19.91,7.69,0.07,1.59,0
0.25,600,1.08,19.92,6.78,0.07,1.59,0
0.25,600,1.08,19.93,6.33,0.07,1.59,0
0.25,600,1.08,19.93,5.88,0.07,1.59,0
0.25,600,1.08,19.94,4.97,0.07,1.59,0
0.25,600,1.08,19.95,4.52,0.07,1.59,0
0.25,600,1.08,19.95,4.07,0.06,1.59,0
0.25,600,1.08,19.96,3.62,0.06,1.59,0
0.25,600,1.08,19.97,2.71,0.06,1.59,0
0.25,600,1.08,19.97,2.26,0.06,1.59,0
0.25,600,1.08,19.98,1.81,0.06,1.59,0
0.25,600,1.08,19.99,0.9,0.06,1.57,0.01
0.25,600,1.08,19.99,0.45,0.06,1.52,0.03
0.25,600,1.08,20,0,0,0,0
0.5,6,15,0,10,0,1.21,0
0.5,6,15,1.2,10,0.03,1.27,0
0.5,6,15,2.4,10,0.04,1.37,0
0.5,6,15,3.6,10,0.05,1.46,0
0.5,6,15,4.8,10,0.06,1.52,0
0.5,6,15,6,10,0.06,1.59,0
0.5,6,15,7.2,10,0.07,1.65,0
0.5,6,15,8.4,10,0.07,1.71,0
0.5,6,15,9.6,10,0.08,1.75,0
0.5,6,15,10.8,10,0.08,1.8,0
0.5,6,15,12,10,0.09,1.85,0
0.5,6,15,13.2,10,0.09,1.9,0
0.5,6,15,14.4,10,0.09,1.93,0
0.5,6,15,15.6,10,0.09,1.98,0
0.5,6,15,16.8,10,0.1,2.03,0
0.5,6,15,18,10,0.1,2.04,0
0.5,6,15,18.46,10,0.1,2.06,0
0.5,6,15,18.87,10,0.1,2.08,0
0.5,6,15,19.2,10,0.1,2.09,0
0.5,6,15,19.33,10,0.11,2.1,0
0.5,6,15,19.45,10,0.11,2.1,0
0.5,6,15,19.55,10,0.11,2.1,0
0.5,6,15,19.62,10,0.11,2.11,0
0.5,6,15,19.68,10,0.11,2.11,0
0.5,6,15,19.73,10,0.11,2.11,0
0.5,6,15,19.76,10,0.11,2.12,0
0.5,6,15,19.8,10,0.11,2.12,0
0.5,6,15,19.82,10,0.11,2.12,0
0.5,6,15,19.84,10,0.11,2.12,0
0.5,6,15,19.85,10,0.11,2.12,0
0.5,6,15,19.87,10,0.11,2.12,0
0.5,6,15,19.88,10,0.11,2.12,0
0.5,6,15,19.88,10,0.11,2.13,0
0.5,6,15,19.89,9.5,0.11,2.13,0
0.5,6,15,19.9,8.59,0.11,2.13,0
0.5,6,15,19.91,8.14,0.11,2.13,0
0.5,6,15,19.91,7.69,0.11,2.13,0
